+4.0000e+00 +2.4444e-03 +1.6600e-06 -1.0590e-05 -4.4970e-05
+4.0000e+00 +2.4488e-03 +4.9000e-07 -1.0920e-05 -3.9380e-05
+4.0000e+00 +2.4534e-03 -4.6000e-07 -1.0890e-05 -3.3990e-05
+4.0000e+00 +2.4581e-03 -1.1900e-06 -1.0530e-05 -2.8830e-05
+4.0000e+00 +2.4630e-03 -1.7100e-06 -9.8800e-06 -2.3930e-05
+4.0000e+00 +2.4680e-03 -2.0500e-06 -8.9400e-06 -1.9300e-05
+4.0000e+00 +2.4731e-03 -2.2200e-06 -7.7700e-06 -1.4950e-05
+4.0000e+00 +2.4783e-03 -2.2300e-06 -6.3900e-06 -1.0920e-05
+4.0000e+00 +2.4836e-03 -2.1000e-06 -4.8300e-06 -7.2000e-06
+4.0000e+00 +2.4888e-03 -1.8600e-06 -3.1200e-06 -3.8100e-06
+4.0000e+00 +2.4939e-03 -1.5200e-06 -1.3100e-06 -7.5000e-07
+4.0000e+00 +2.4990e-03 -1.1000e-06 +5.8000e-07 +1.9700e-06
+4.0000e+00 +2.5039e-03 -6.3000e-07 +2.5100e-06 +4.3700e-06
+4.0000e+00 +2.5087e-03 -1.2000e-07 +4.4500e-06 +6.4300e-06
+4.0000e+00 +2.5133e-03 +4.0000e-07 +6.3700e-06 +8.1600e-06
+4.0000e+00 +2.5176e-03 +9.2000e-07 +8.2300e-06 +9.5900e-06
+4.0000e+00 +2.5216e-03 +1.4200e-06 +1.0010e-05 +1.0710e-05
+4.0000e+00 +2.5253e-03 +1.8700e-06 +1.1690e-05 +1.1540e-05
+4.0000e+00 +2.5286e-03 +2.2600e-06 +1.3220e-05 +1.2090e-05
+4.0000e+00 +2.5315e-03 +2.5900e-06 +1.4600e-05 +1.2400e-05
+4.0000e+00 +2.5340e-03 +2.8300e-06 +1.5800e-05 +1.2460e-05
+4.0000e+00 +2.5360e-03 +2.9800e-06 +1.6790e-05 +1.2320e-05
+4.0000e+00 +2.5376e-03 +3.0400e-06 +1.7580e-05 +1.1980e-05
+4.0000e+00 +2.5387e-03 +2.9900e-06 +1.8130e-05 +1.1480e-05
+4.0000e+00 +2.5393e-03 +2.8300e-06 +1.8450e-05 +1.0830e-05
+4.0000e+00 +2.5394e-03 +2.5800e-06 +1.8520e-05 +1.0070e-05
+4.0000e+00 +2.5389e-03 +2.2300e-06 +1.8330e-05 +9.2100e-06
+4.0000e+00 +2.5380e-03 +1.7900e-06 +1.7890e-05 +8.2900e-06
+4.0000e+00 +2.5366e-03 +1.2600e-06 +1.7200e-05 +7.3300e-06
+4.0000e+00 +2.5347e-03 +6.8000e-07 +1.6250e-05 +6.3400e-06
+4.0000e+00 +2.5323e-03 +4.0000e-08 +1.5060e-05 +5.3600e-06
+4.0000e+00 +2.5295e-03 -6.2000e-07 +1.3630e-05 +4.4100e-06
+4.0000e+00 +2.5263e-03 -1.3000e-06 +1.1960e-05 +3.5100e-06
+4.0000e+00 +2.5227e-03 -1.9700e-06 +1.0080e-05 +2.6800e-06
+4.0000e+00 +2.5188e-03 -2.6000e-06 +7.9900e-06 +1.9300e-06
+4.0000e+00 +2.5146e-03 -3.1700e-06 +5.7000e-06 +1.2800e-06
+4.0000e+00 +2.5101e-03 -3.6500e-06 +3.2400e-06 +7.6000e-07
+4.0000e+00 +2.5053e-03 -4.0200e-06 +6.2000e-07 +3.6000e-07
+4.0000e+00 +2.5004e-03 -4.2500e-06 -2.1400e-06 +1.1000e-07
+4.0000e+00 +2.4953e-03 -4.3100e-06 -5.0200e-06 +0.0000e+00
+4.0000e+00 +2.4901e-03 -4.1700e-06 -8.0100e-06 +5.0000e-08
+4.0000e+00 +2.4849e-03 -3.8200e-06 -1.1090e-05 +2.7000e-07
+4.0000e+00 +2.4796e-03 -3.2200e-06 -1.4230e-05 +6.5000e-07
+4.0000e+00 +2.4743e-03 -2.3500e-06 -1.7420e-05 +1.2000e-06
+4.0000e+00 +2.4691e-03 -1.2000e-06 -2.0640e-05 +1.9200e-06
+4.0000e+00 +2.4639e-03 +2.7000e-07 -2.3870e-05 +2.8000e-06
+4.0000e+00 +2.4589e-03 +2.0600e-06 -2.7090e-05 +3.8400e-06
+4.0000e+00 +2.4539e-03 +4.1900e-06 -3.0290e-05 +5.0400e-06
+4.0000e+00 +2.4492e-03 +6.6800e-06 -3.3460e-05 +6.3800e-06
+4.0000e+00 +2.4446e-03 +9.5300e-06 -3.6570e-05 +7.8700e-06
