+4.0000e+00 +2.3988e-03 +8.4500e-06
+4.0000e+00 +2.4060e-03 +5.6200e-06
+4.0000e+00 +2.4137e-03 +3.1400e-06
+4.0000e+00 +2.4218e-03 +1.0000e-06
+4.0000e+00 +2.4305e-03 -7.9000e-07
+4.0000e+00 +2.4395e-03 -2.2400e-06
+4.0000e+00 +2.4488e-03 -3.3500e-06
+4.0000e+00 +2.4584e-03 -4.1300e-06
+4.0000e+00 +2.4682e-03 -4.6000e-06
+4.0000e+00 +2.4780e-03 -4.7900e-06
+4.0000e+00 +2.4878e-03 -4.7200e-06
+4.0000e+00 +2.4976e-03 -4.4100e-06
+4.0000e+00 +2.5072e-03 -3.9100e-06
+4.0000e+00 +2.5164e-03 -3.2400e-06
+4.0000e+00 +2.5253e-03 -2.4500e-06
+4.0000e+00 +2.5338e-03 -1.5700e-06
+4.0000e+00 +2.5417e-03 -6.4000e-07
+4.0000e+00 +2.5490e-03 +3.0000e-07
+4.0000e+00 +2.5555e-03 +1.2100e-06
+4.0000e+00 +2.5613e-03 +2.0600e-06
+4.0000e+00 +2.5662e-03 +2.8200e-06
+4.0000e+00 +2.5701e-03 +3.4700e-06
+4.0000e+00 +2.5732e-03 +3.9700e-06
+4.0000e+00 +2.5752e-03 +4.3200e-06
+4.0000e+00 +2.5762e-03 +4.4900e-06
+4.0000e+00 +2.5762e-03 +4.4900e-06
+4.0000e+00 +2.5752e-03 +4.3200e-06
+4.0000e+00 +2.5732e-03 +3.9700e-06
+4.0000e+00 +2.5701e-03 +3.4700e-06
+4.0000e+00 +2.5662e-03 +2.8200e-06
+4.0000e+00 +2.5613e-03 +2.0600e-06
+4.0000e+00 +2.5555e-03 +1.2100e-06
+4.0000e+00 +2.5490e-03 +3.0000e-07
+4.0000e+00 +2.5417e-03 -6.4000e-07
+4.0000e+00 +2.5338e-03 -1.5700e-06
+4.0000e+00 +2.5253e-03 -2.4500e-06
+4.0000e+00 +2.5164e-03 -3.2400e-06
+4.0000e+00 +2.5072e-03 -3.9100e-06
+4.0000e+00 +2.4976e-03 -4.4100e-06
+4.0000e+00 +2.4878e-03 -4.7200e-06
+4.0000e+00 +2.4780e-03 -4.7900e-06
+4.0000e+00 +2.4682e-03 -4.6000e-06
+4.0000e+00 +2.4584e-03 -4.1300e-06
+4.0000e+00 +2.4488e-03 -3.3500e-06
+4.0000e+00 +2.4395e-03 -2.2400e-06
+4.0000e+00 +2.4305e-03 -7.9000e-07
+4.0000e+00 +2.4218e-03 +1.0000e-06
+4.0000e+00 +2.4137e-03 +3.1400e-06
+4.0000e+00 +2.4060e-03 +5.6200e-06
+4.0000e+00 +2.3988e-03 +8.4500e-06
